tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,68,3523.058800,312.090059,1248.369759
iteracion,69,3526.777700,311.760967,1247.053384
iteracion,70,3522.291800,312.158018,1248.641599
iteracion,71,3562.464000,308.637962,1234.561266
iteracion,72,3577.256500,307.361697,1229.456167
iteracion,73,3604.721900,305.019821,1220.088591
iteracion,74,3585.388600,306.664563,1226.667610
iteracion,75,3580.259800,307.103867,1228.424838
iteracion,76,3597.804800,305.606249,1222.434320
iteracion,77,3559.163100,308.924204,1235.706244
iteracion,78,3531.079500,311.381159,1245.534139
iteracion,79,3534.568600,311.073784,1244.304628
iteracion,80,3518.869900,312.461574,1249.855832
iteracion,81,3551.694200,309.573844,1238.304825
iteracion,82,3554.298200,309.347040,1237.397601
iteracion,83,3542.783300,310.352493,1241.419441
iteracion,84,3572.312400,307.787087,1231.157741
iteracion,85,3524.857200,311.930829,1247.732835
iteracion,86,3514.116900,312.884192,1251.546318
iteracion,87,3515.639100,312.748720,1251.004424
iteracion,88,3537.233000,310.839469,1243.367362
iteracion,89,3513.731800,312.918484,1251.683485
iteracion,90,3514.408300,312.858249,1251.442545
iteracion,91,3525.914400,311.837300,1247.358718
iteracion,92,3556.502800,309.155282,1236.630565
iteracion,93,3519.348700,312.419064,1249.685791
iteracion,94,3513.830700,312.909677,1251.648255
iteracion,95,3521.625300,312.217097,1248.877916
iteracion,96,3543.920800,310.252878,1241.020980
iteracion,97,3534.546500,311.075729,1244.312408
iteracion,98,3670.065100,299.589135,1198.365682
iteracion,99,3646.933100,301.489388,1205.966752
iteracion,100,3567.980700,308.160755,1232.652426
iteracion,101,3510.371100,313.218061,1252.881801
iteracion,102,3519.698700,312.387997,1249.561522
iteracion,103,3517.131800,312.615987,1250.473487
iteracion,104,3521.800300,312.201583,1248.815859
iteracion,105,3550.180700,309.705821,1238.832735
iteracion,106,3519.836600,312.375759,1249.512567
iteracion,107,3525.940100,311.835027,1247.349626
iteracion,108,3516.319000,312.688248,1250.762535
iteracion,109,3549.556700,309.760266,1239.050517
iteracion,110,3563.002700,308.591298,1234.374609
iteracion,111,3574.958200,307.559296,1230.246571
iteracion,112,3512.790300,313.002353,1252.018962
iteracion,113,3547.041800,309.979890,1239.929021
iteracion,114,3517.012500,312.626591,1250.515904
iteracion,115,3518.332300,312.509318,1250.046809
iteracion,116,3514.396600,312.859291,1251.446711
iteracion,117,3548.085200,309.888733,1239.564390
iteracion,118,3599.184300,305.489115,1221.965784
iteracion,119,3610.565200,304.526180,1218.114013
iteracion,120,3600.208000,305.402251,1221.618325
iteracion,121,3551.808300,309.563900,1238.265045
iteracion,122,3519.316200,312.421949,1249.697332
iteracion,123,3557.440200,309.073819,1236.304707
iteracion,124,3519.657400,312.391663,1249.576185
iteracion,125,3519.001300,312.449907,1249.809162
iteracion,126,3512.135400,313.060717,1252.252423
iteracion,127,3523.204700,312.077135,1248.318063
iteracion,128,3551.683600,309.574768,1238.308521
iteracion,129,3527.861900,311.665156,1246.670133
iteracion,130,3520.446500,312.321641,1249.296095
iteracion,131,3516.414100,312.679792,1250.728708
