tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,170,346509.918400,3.173103,12.692508
iteracion,171,352216.047300,3.121697,12.486882
iteracion,172,346570.016000,3.172553,12.690307
iteracion,173,352510.836200,3.119086,12.476439
iteracion,174,346670.986500,3.171629,12.686611
iteracion,175,351996.599100,3.123643,12.494666
iteracion,176,346765.781400,3.170762,12.683143
iteracion,177,352302.464200,3.120931,12.483819
iteracion,178,346418.085200,3.173944,12.695873
iteracion,179,352788.937900,3.116627,12.466604
iteracion,180,346694.416200,3.171414,12.685754
iteracion,181,352175.186600,3.122059,12.488330
iteracion,182,346666.704400,3.171668,12.686768
iteracion,183,352433.832900,3.119768,12.479165
iteracion,184,346523.214600,3.172981,12.692021
iteracion,185,352333.853000,3.120653,12.482706
iteracion,186,346351.625000,3.174553,12.698309
iteracion,187,351860.414500,3.124852,12.499502
iteracion,188,346487.924100,3.173304,12.693314
iteracion,189,352437.046700,3.119739,12.479052
iteracion,190,346548.289700,3.172752,12.691103
iteracion,191,352072.643100,3.122968,12.491968
iteracion,192,346817.632900,3.170288,12.681247
iteracion,193,352467.292900,3.119471,12.477981
iteracion,194,346562.952000,3.172617,12.690566
iteracion,195,352178.595900,3.122029,12.488209
iteracion,196,346572.768800,3.172527,12.690207
iteracion,197,352294.638700,3.121000,12.484096
iteracion,198,346312.792500,3.174909,12.699733
iteracion,199,352262.490900,3.121285,12.485235
iteracion,200,346493.422500,3.173254,12.693113
iteracion,201,352117.530400,3.122570,12.490375
iteracion,202,346436.801300,3.173773,12.695187
iteracion,203,353007.304800,3.114699,12.458893
iteracion,204,346700.012000,3.171363,12.685549
iteracion,205,352000.026800,3.123612,12.494545
iteracion,206,346550.111500,3.172735,12.691036
iteracion,207,353578.979200,3.109663,12.438749
iteracion,208,346617.182400,3.172121,12.688581
iteracion,209,352107.175700,3.122662,12.490743
iteracion,210,347098.698400,3.167720,12.670978
iteracion,211,352452.738500,3.119600,12.478496
iteracion,212,356740.195300,3.082107,12.328524
iteracion,213,352403.474100,3.120036,12.480240
iteracion,214,346433.666700,3.173801,12.695302
iteracion,215,352181.069800,3.122007,12.488122
iteracion,216,346652.532200,3.171797,12.687287
iteracion,217,352382.525700,3.120222,12.480982
iteracion,218,346952.868900,3.169052,12.676304
iteracion,219,355093.423200,3.096401,12.385698
iteracion,220,353004.112000,3.114728,12.459005
iteracion,221,356196.889700,3.086809,12.347329
iteracion,222,351750.007100,3.125833,12.503426
iteracion,223,354235.537700,3.103900,12.415694
iteracion,224,347101.833400,3.167692,12.670864
iteracion,225,352811.648600,3.116427,12.465802
iteracion,226,347074.506200,3.167941,12.671861
iteracion,227,352927.027700,3.115408,12.461726
iteracion,228,347261.449400,3.166236,12.665040
iteracion,229,352758.987300,3.116892,12.467663
iteracion,230,347214.479000,3.166664,12.666753
iteracion,231,352570.097700,3.118562,12.474342
iteracion,232,347115.456600,3.167567,12.670367
iteracion,233,352698.631500,3.117425,12.469796
iteracion,234,347265.883600,3.166195,12.664878
iteracion,235,352659.257200,3.117773,12.471188
iteracion,236,348851.120300,3.151808,12.607327
iteracion,237,355927.726000,3.089143,12.356666
iteracion,238,348544.404900,3.154581,12.618421
iteracion,239,353588.077200,3.109583,12.438429
iteracion,240,348556.208300,3.154474,12.617994
iteracion,241,352834.335200,3.116226,12.465000
iteracion,242,347246.730500,3.166370,12.665577
iteracion,243,352900.474900,3.115642,12.462664
iteracion,244,347248.998400,3.166349,12.665494
iteracion,245,353075.854100,3.114095,12.456474
iteracion,246,347292.148700,3.165956,12.663920
iteracion,247,352793.739600,3.116585,12.466435
iteracion,248,347297.018500,3.165912,12.663743
iteracion,249,352813.031700,3.116414,12.465753
iteracion,250,347019.678000,3.168442,12.673864
iteracion,251,352896.185100,3.115680,12.462816
iteracion,252,347159.514800,3.167165,12.668759
iteracion,253,352903.363700,3.115617,12.462562
iteracion,254,347395.705400,3.165012,12.660145
iteracion,255,352796.653600,3.116559,12.466332
promedio,,349531.066265,3.146052,12.584305
min,,344438.672800,2.962167,11.848760
max,,371184.839700,3.192184,12.768834
total,,89482769.405300,,
