iter,tiempo_ms,gflops
399,2163.476100,127.053822
400,2163.538200,127.050175
401,2163.522800,127.051079
402,2163.901600,127.028839
403,2163.398500,127.058379
404,2164.330500,127.003666
405,2163.435300,127.056218
406,2163.574300,127.048055
407,2163.980800,127.024189
408,2163.847400,127.032020
409,2163.411800,127.057598
410,2163.439100,127.055995
411,2163.501200,127.052348
412,2163.844400,127.032196
413,2163.923700,127.027541
414,2163.469200,127.054227
415,2163.586000,127.047368
416,2163.471700,127.054080
417,2163.871600,127.030600
418,2163.766500,127.036770
419,2163.422300,127.056981
420,2166.751700,126.861747
421,2163.539500,127.050099
422,2163.600000,127.046546
423,2163.448000,127.055472
424,2165.489100,126.935715
425,2163.915400,127.028028
426,2163.946300,127.026215
427,2163.456400,127.054979
428,2163.473200,127.053992
429,2164.971400,126.966068
430,2163.887300,127.029678
431,2182.237700,125.961488
432,2188.570800,125.596991
433,2163.899700,127.028950
434,2163.559500,127.048924
435,2163.584700,127.047444
436,2163.466300,127.054397
437,2163.927600,127.027312
438,2163.891400,127.029437
439,2163.566000,127.048543
440,2163.406800,127.057892
441,2163.475800,127.053839
442,2163.526200,127.050880
443,2164.016800,127.022076
444,2324.073300,118.274199
445,2224.166700,123.586918
446,2208.561300,124.460166
447,2200.092500,124.939250
448,2220.019700,123.817778
449,2175.662600,126.342158
450,2170.713200,126.630228
451,2177.886800,126.213129
452,2170.054700,126.668654
453,2171.694900,126.572985
454,2281.904700,120.459854
455,2245.229800,122.427516
456,2235.472700,122.961872
457,2208.255700,124.477390
458,2165.305500,126.946478
459,2163.887600,127.029660
460,2163.408200,127.057809
461,2163.504300,127.052166
462,2163.442100,127.055819
463,2163.611600,127.045865
464,2163.861200,127.031210
465,2163.831600,127.032948
466,2163.590900,127.047080
467,2163.528800,127.050727
468,2163.427000,127.056705
469,2163.512500,127.051684
470,2163.893800,127.029296
471,2167.981000,126.789814
472,2163.937600,127.026725
473,2163.474100,127.053939
474,2163.489700,127.053023
475,2163.514800,127.051549
476,2163.914000,127.028111
477,2163.809400,127.034251
478,2163.546500,127.049688
479,2163.624800,127.045090
480,2163.459900,127.054773
481,2167.132500,126.839456
482,2163.529800,127.050668
483,2163.560500,127.048865
484,2163.481900,127.053481
485,2164.236400,127.009188
486,2165.520100,126.933898
487,2163.864400,127.031022
488,2163.467700,127.054315
489,2163.501400,127.052336
490,2163.589400,127.047168
491,2163.905100,127.028633
492,2163.941100,127.026520
493,2163.408000,127.057821
494,2163.938300,127.026684
495,2163.812600,127.034063
496,2164.974600,126.965881
497,2163.610800,127.045912
498,2163.398300,127.058391
499,2163.690800,127.041214
500,2163.841700,127.032355
501,2164.056500,127.019746
502,2163.585900,127.047374
503,2163.469800,127.054192
504,2163.453800,127.055131
505,2164.004100,127.022822
506,2163.857600,127.031422
507,2163.465800,127.054427
508,2163.451600,127.055261
509,2163.468500,127.054268
510,2163.607000,127.046135
511,2163.915000,127.028052
